Fixture_ID,Team_1,Team_2,Team_1_goals,Team_2_goals,ALFIE_rating,Total_goals
13711962,Ampleforth College 1st XI,Old Amplefordians,2,4,3.0,6
13868764,Old Merchant Taylors,Old Cholmeleians II,4,0,1.0,4
13646388,Old Millfieldians,Old Cholmeleians II,4,3,4.0,7
13098821,Old Foresters,Lancing Old Boys,0,3,2.0,3
13098923,Old Wykehamists,Old Haileyburians,3,0,2.0,3
13097280,Old Harrovians III,Old Sennockians,6,1,0.0,7
13098752,Old Brentwoods,Lancing Old Boys,1,4,2.0,5
13098754,Old Cholmeleians,Old Carthusians,3,6,3.0,9
13098866,Old Westminsters,Old Aldenhamians,2,2,5.0,4
13469677,Old Marlburians,Old Carthusians III,4,1,2.0,5
13186732,Old Wellingtonians,Old Aldenhamians II,2,5,2.0,7
13186693,Old Cholmeleians II,Old Chigwellians II,0,8,0.0,8
13097201,Old Wykehamists II,Old Brentwoods II,3,0,2.0,3
13340143,Old Brentwoods IV,Old Amplefordians,7,2,0.0,9
13186723,Old Wellingtonians,Old Carthusians II,1,4,2.0,5
13617599,Old Etonians Vets,Old Harrovians Vets,3,2,4.0,5
13617591,Old Salopians Vets,Old Brentwoods Vets,2,4,3.0,6
13098809,Old Salopians,Lancing Old Boys,1,0,3.0,1
13469475,Old Foresters,Old Etonians,1,0,3.0,1
13098806,Old Cholmeleians,Old Harrovians,4,1,2.0,5
13300466,Old Tonbridgians,Old Radleians,4,0,1.0,4
13098860,Old King's Scholars,Old Westminsters,5,7,4.0,12
13186657,Lancing Old Boys II,Old Marlburians,1,2,4.0,3
13186703,Old Carthusians III,Old Haberdashers,6,1,0.0,7
13186716,Old Salopians II,Old Chigwellians II,2,0,2.0,2
13366107,Old Haberdashers,Old Carthusians III,1,4,2.0,5
13097217,Old Brentwoods II,Old Berkhamstedians,1,2,4.0,3
13097207,Old Cholmeleians III,Old Foresters II,1,1,4.0,2
13097339,Old Eastbournians,Old Stoics,5,3,4.0,8
13325406,Old Citizens,Old Westminsters II,3,2,4.0,5
