Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games
KCS Old Boys II,Old Brentwoods II,5,10,15,2.3333333333333335,3
KCS Old Boys II,Old Brentwoods IV,4,5,9,5.0,1
KCS Old Boys II,Old Carthusians II,4,9,13,3.0,2
KCS Old Boys II,Old Epsomians,1,5,6,3.0,2
KCS Old Boys II,Old Haberdashers,4,6,10,3.0,2
KCS Old Boys II,Old Harrovians II,4,1,5,3.0,2
KCS Old Boys II,Old Harrovians III,3,2,5,4.0,1
KCS Old Boys II,Old Johnians II,7,1,8,0.0,1
KCS Old Boys II,Old King's Scholars,2,3,5,4.0,1
KCS Old Boys II,Old Merchant Taylors,1,3,4,3.5,2
KCS Old Boys II,Old Sennockians,2,3,5,3.0,2
KCS Old Boys II,Old Shirburnians,19,9,28,3.5,4
KCS Old Boys II,Old Tenisonians II,2,0,2,2.0,1
KCS Old Boys II,Old Tonbridgians II,4,1,5,2.0,1
KCS Old Boys II,Old Westminsters II,2,4,6,3.0,1
KCS Old Boys Vets,KCS Old Boys,0,0,0,4.0,1
KCS Old Boys Vets,Old Brentwoods Vets,1,4,5,3.0,2
KCS Old Boys Vets,Old Carthusians Vets,10,6,16,4.0,2
KCS Old Boys Vets,Old Cholmeleians Vets,6,1,7,0.0,1
KCS Old Boys Vets,Old Etonians Vets,4,1,5,3.3333333333333335,3
KCS Old Boys Vets,Old Foresters Vets,4,1,5,2.0,1
KCS Old Boys Vets,Old Harrovians Vets,14,2,16,0.0,2
KCS Old Boys Vets,Old Malvernians Vets,2,1,3,4.0,1
KCS Old Boys Vets,Old Reptonians Vets,2,2,4,5.0,1
KCS Old Boys Vets,Old Salopians Vets,4,2,6,3.0,1
KCS Old Boys Vets,Old Wellingtonians Vets,4,4,8,3.0,2
KCS Old Boys Vets,Old Westminsters Vets,2,5,7,2.0,1
KCS Old Boys Vets,Old Wykehamists Vets,8,7,15,3.0,2
KCS Wimbledon 1st XI,KCS Old Boys,1,5,6,2.0,1
KCS Wimbledon 2nd XI,Kings College Wimbledon II,1,6,7,0.0,1
Kimbolton School 1st XI,Old Kimboltonians,3,10,13,2.75,4
"King's College School, Wimbledon 1st XI",KCS Old Boys,14,15,29,1.8333333333333333,6
"King's College School, Wimbledon 2nd XI",Kings College Wimbledon II,6,8,14,2.8,5
Kings College Wimbledon II,Alleyn Old Boys,4,5,9,5.0,1
Kings College Wimbledon II,BB Eagles,2,0,2,2.0,1
Kings College Wimbledon II,City of London,3,6,9,3.0,1
Kings College Wimbledon II,Civil Service II,1,8,9,0.0,1
Kings College Wimbledon II,KCS Old Boys,5,5,10,5.0,2
Kings College Wimbledon II,KCS Wimbledon 2nd XI,6,1,7,0.0,1
Kings College Wimbledon II,"King's College School, Wimbledon 2nd XI",8,6,14,2.8,5
Kings College Wimbledon II,Kings College Wimbledon III,0,0,0,4.0,1
Kings College Wimbledon II,Lancing Old Boys II,18,8,26,2.375,8
Kings College Wimbledon II,Old Albanians,3,7,10,3.0,2
Kings College Wimbledon II,Old Albanians SA,4,2,6,3.0,1
Kings College Wimbledon II,Old Aldenhamians,6,2,8,2.0,1
Kings College Wimbledon II,Old Aldenhamians II,8,14,22,3.2,5
Kings College Wimbledon II,Old Alleynians AFC,4,12,16,2.6666666666666665,3
Kings College Wimbledon II,Old Alleynians II,4,4,8,3.0,2
Kings College Wimbledon II,Old Alleynians III,10,8,18,2.25,4
Kings College Wimbledon II,Old Ardinians,5,12,17,3.0,3
Kings College Wimbledon II,Old Berkhamstedians,16,18,34,3.142857142857143,7
Kings College Wimbledon II,Old Brentwoods II,30,34,64,2.9166666666666665,12
Kings College Wimbledon II,Old Carthusians II,16,21,37,3.125,8
Kings College Wimbledon II,Old Carthusians III,13,12,25,3.142857142857143,7
